Subject Number,Class Year,Gender,Race_Ethnicity,MC1_PriorStrategyDunlosky,MC1_PriorStrategyChew,MC1_PriorStrategyUtility,MC1_FutureStrategyDunlosky,MC1_FutureStrategyChew,MC1_FutureUtility,MC1_ChewMisconceptions,MC1_StudyTools,MC1_StudyPlan,MC1_StudySupport,MC1_StudyOther,MC2_UsedStrategyDunlosky,MC2_UsedChewStrategies,MC2_UsedUtility,MC2_FutureStrategyDunlosky,MC2_FutureUtility,MC2_FutureChewStategies,MC2_reflectioneffective,MC2_reflectionExplanation,MC2_ChewMisconceptions,MC2_StudyTools,MC2_StudyPlan,MC2_StudySupport,MC2_StudyOther,MC2_Concentrating,MC2_Remembering,MC2_Organizing,MC2_Studying chapter,MC2_listening/taking notes,MC2_taking tests,MC2_motivation,MC2_AnticipatedLetterGrade,MC_2AnticipatedGrade,MC2_ActualLetterGrade,MC2_ActualGrade,MC2_ExamFeelings,MC2_Timing,MC2_TimingExplain,MC2_ExamStrategy,MC3_UsedDunloskyStrategy,MC3_UsedUtility,MC3_UsedChewStrategy,MC3_FutureDunloskyStrategy,MC3_FutureUtility,MC3_FutureChewStrategy,MC3_reflectioneffective,MC3_reflectionExplanation,MC3_StudyTools,MC3_StudyPlan,MC3_StudySupport,MC3_StudyOther,MC3_Concentrating,MC3_Remembering,MC3_Organizing,MC3_Studying chapter,MC3_listening/taking notes,MC3_taking tests,MC3_motivation,MC3_AnticipatedLetterGrade,MC3_AnticipatedGrade,MC3_ActualLetterGrade,MC3_ActualGrade,MC3_ExamFeelings,MC3_Timing,MC3_TimingExplain,MC3_ExamStrategy,MC3_Usefulness,MC3_ExpectedFinalExamGrade,Final Exam Grades,FInal Exam Letter grade ,Final Grade,Coder Notes
S62,Second Year Student/Sophmore,Cisgender Woman,White or European American,"Summary, TestPractice, Distributed",NoteTaking,,NA,"MasterBasics, Value, Feedback",,1,Study Guide,Overstudy basic concepts and ask questions when needed ,TA,NA,"TestPractice,  Summary, ReRead",NoteTaking,,"ReRead, Interleaved",,NA,Yes,TestPractice helped student find the areas they needed to practice for the exam,0,Test Answers ,"Review wrong answers, to see where to study ",NA,NA,0,1,0,0,1,-1,0,B,85,D,66,Confident,N,,NA,NA,,NoDistractions,TestPractice,,NoDistractions,N,NA,"Practice test, designated study space","Study in quiet, designated space",NA,NA,0,1,1,0,1,1,1,C,76,C,76,"confident, double checked",N,,"read questions out loud, take extra time for exam",3,80,81.6,B,86.42,
S60,First Year Student/Freshman,Do Not Wish to Disclose,Asian,"ReRead, Highlight, TestPractice, Distributed",NA,,"Distributed, TestPractice, Interleaved",RecallCompare,,1,"Quizzes, Study guide","Study in the morning, review previous lessons",NA,NA,"ReRead, Highlight, Summary ",NA,,TestPractice,,NA,Yes,"Highlighting helped student find information, summary helped with memorizing concepts",0,"Online practice questions, class practice questions",NA,NA,NA,0,1,0,0,-1,-1,0,A,96,A,93,"familiar with topics, confused, nervous",Y,,More preperation before exam,TestPractice,,NA,Distributed,,NA,Yes,practice testing helped student gain deeper understanding. ,class modules,study one module at a time,NA,NA,0,1,1,0,0,1,0,A,92,B,85.6,"Confident, familiar, careful ",N,,practice testing helped student gain deeper understanding of content and helped them identify areas they did not understand,3,,90.4,A,96.73,
S59,Second Year Student/Sophmore,Cisgender Woman,White or European American,"Distributed, Summary, TestPractice, ReRead",NoteTaking,,Distributed,"NoDistractions, NoOverConfidence, ",,1,Study Materials,"Review all materials, then review again",NA,NA,"Summary, ReRead",NA,,Distributed,,NA,Yes,Rereading helped student remember information,0,NA,Study for exam a couple of days in advance,NA,NA,0,1,1,1,0,0,0,A,92,A,92,"good understanding of questions, some confusion ",N,,NA,"Distributed, ReRead",,NA,"TestPractice, ReRead, Summary ",,NoteTaking,Yes,NA,"Class slides, notes, class video recording",practice tests after reviewing class materials,NA,NA,0,1,1,1,1,0,0,A,92,A,92,Confident,N,,NA,3,,61.6,D,94.23,
S58,Second Year Student/Sophmore,Do Not Wish to Disclose,White or European American,"ReRead, TestPractice, Interleaved, Distributed",NoteTaking,,"ReRead, Summary",NA,,0,"Class notes, class objectives, portfolio",Use portfolio to know most important points ,NA,NA,ReRead,NA,,Summary ,,NA,No,"Test is open notes, so student did not see a need to memorize concepts",0,portfolio,fill in portfolio as a study technique,NA,NA,0,0,0,1,0,-1,0,A,92,B,88,"nervous, confused",N,,Use practice problems for studying,"TestPractice, ReRead",,NA,Summary ,,NA,Yes,Practice testing helpful,"Portfolio, Study guide",Use portfolio and study guide to study for final exam ,NA,NA,0,0,0,0,0,-1,0,A,92,B,85,"confused, stressed",NA,,Use practice problems to prep for final exam,0,,83.2,B,95.16,
S57,First Year Student/Freshman,Cisgender Woman,White or European American,"Distributed, ReRead, Summary, Highlight, SelfExplain, TestPractice",GroupStudy,,"Interleaved, Imagery",NA,,1,Class materials,NA,NA,NA,Imagery,NA,,Interleaved,,NoDistractions,No,Imagery did not help the student with statistics content,0,NA,NA,NA,NA,0,0,0,0,0,1,0,A,92,B,84,"confused, confident",N,,"Double check answers, quiet environment, continue with effective study habits",Imagery,,NA,Interleaved ,,NoDistractions,No,Imagery not as helpful as other study strategies,NA,NA,NA,NA,0,0,0,0,0,1,0,B,86,B,89.6,"confused, confident",N,,"Quiet environment, double check each answer",1,,87.2,B,95.6,This student copy and pasted the same answers from MC2
S56,First Year Student/Freshman,Cisgender Woman,Asian,"ReRead, TestPractice",NA,,"TestPractice, Interleaved",NA,,0,"Flashcards, quizlet",NA,NA,NA,"Interrogation, SelfExplain",NA,,"Interrogation, SelfExplain",,NA,Yes,interrogation and selfexplain helped student gain understanding of concepts,0,NA,NA,NA,NA,0,0,0,0,0,-1,0,A,95,B,88,confident,N,,Use same study strategy as the first exam because it was effective,"Interrogation, SelfExplain",,NA,"Interrogation, SelfExplain",,NA,Yes,Interrogation and self explanation helped student recall all the material confidently,NA,Spend extra time studying ,NA,NA,0,0,1,0,0,-1,0,A,95,B,85,"confident, confused",N,,spend more time reviewing answers before turning in exam,0,,89.6,B,94.28,
S55,Second Year Student/Sophmore,Cisgender Woman,White or European American,"ReRead, TestPractice, Mnemonic",NoteTaking,,"SelfExplain, Distributed, Mnemonic",NoDistractions,,1,NA,Make a study plan,NA,"get good sleep, positive self talk","Highlight, mnemonic",NA,,"Interleaved, SelfExplain, TestPractice",,NA,Yes,NA,0,Quizlet,Study a couple of days per week,Roommates,NA,0,1,1,0,1,"-1, 1",0,A,95,NA,NA,"confident, somewhat unsure on some answers",N,,Keep an eye on the time,"Interleaved, Distributed, ReRead, Highlight, Mnemonic",,NA,"SelfExplain, Mnemonic",,NA,Yes,Increased score on exam shows that strategies were effective,NA,NA,NA,NA,0,1,0,0,0,1,0,A,95,B,88,"good, confident, worried ",N,,Read questions multiple times to ensure comprehension,3,,92,A,95.21,
S54,First Year Student/Freshman,Cisgender Woman,White or European American,ReRead,"GroupStudy, NoteTaking",,Distributed,NoDistractions,,1,Public space,Study one week before the exam,NA,NA,ReRead,NA,,Distributed,,NA,No,Did not study,1,Class notes,"Study 30 minutes every other day, one week before the exam.",NA,NA,-1,-1,-1,0,0,0,-1,B,85,NA,NA,okay,N,,study to increase grade,"Imagery, ReRead",,GroupStudy,"Distributed, SelfExplain",,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,0,1,1,-1,C,70,C,72,"alright, uncertain",Y,,Organize notes and look throught them before the exam starts,3,,76.8,C,85.74,
S53,Second Year Student/Sophmore,Cisgender Woman,White or European American,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,"TestPractice, ReRead, Highlight",NA,,"TestPractice, Distributed",,NA,No,Using ineffective study strategies was not as effective as they hoped they would be,1,R Studio,NA,NA,NA,0,0,0,0,0,0,0,B,82,B,85,"confident, lost, confused",N,"Has extra time for exams, so they do not need to worry ",NA,"TestPractice, ReRead, Highlight",,NA,TestPractice ,,NA,Yes,NA,practice problems,Not cramming,Office hours,Have confidence in their own abilities ,0,0,0,0,0,0,0,A,95,B,NA,"confident, doubtful, unsure",N,"Knew it was going to take longer, so they felt prepared for a long test",NA,2,,78.4,C,95.13,
S52,Fourth Year Student/Senior,Cisgender Woman,White or European American,"ReRead, TestPractice",NA,,Distributed,MasterBasics,,1,NA,Study 1 hour per day,NA,NA,TestPractice,NA,,"Mnemonic, TestPractice, Interleaved",,NA,Yes,test pratice ensured student knew material and felt comfortable,0,NA,NA,NA,NA,0,1,0,0,0,0,0,A,95,A,91,"confident, unsure",N,,NA,ReRead,,NoteTaking,"TestPractice, ReRead",,NA,Yes,Reviewing notes before exam ,NA,NA,NA,NA,0,0,0,0,0,0,0,B,85,C,75,"not confident, confused",N,,Thorough notes,2,,72.8,C,92.4,
S51,Second Year Student/Sophmore,Cisgender Woman,White or European American,ReRead,NoteTaking,,Distributed,"NoDistractions, MasterBasics",,1,NA,"study one week before exam, beginning with earlier material",NA,NA,Interleaved,NA,,Distributed,,NA,Yes,Helped student see which topics they did not know,0,NA,Start studying two week in advance,NA,NA,0,1,1,0,0,0,0,C,75,C,75,confident with half the content,N,,Review class materials right before exam,"TestPractice, ReRead",,NA,Interleaved ,,NA,Yes,Practice test showed student which topics need more work,Online statistics practice problems,NA,NA,NA,0,-1,0,0,0,-1,0,B,80,D,66,"confident, challenged",Y,,Have R Studio codes typed out in one document for easy access,3,,87.2,B,90.88,
S50,Second Year Student/Sophmore,Cisgender Woman,Asian,"TestPractice, ReRead, Highlight",NoteTaking,,"Distributed, Interleaved, TestPractice",NA,,1,"Flashcards, Practice Problems","Study 1 hr per day, first 15 min spent on flashcards, then practice problems. start studying 10 days before exam. ",NA,NA,"Distributed, Interleaved",NA,,"Interrogation, SelfExplain, TestPractice",,NA,No,"Study to avoid having to use notes, skip harder questions and come back to them",0,"Flashcards, Practice tests",NA,NA,NA,0,1,0,0,0,1,0,A,90,B,88,"confident, challenged",N,,"Study materials well enough to not need notes, skip harder questions and come back to them",Distributed,,NA,"Interleaved, SelfExplain, TestPractice, ",,NA,Yes,distributed practice helped student remember information easier during exam.,Practice problems,NA,NA,NA,0,0,0,0,0,0,0,A,95,C,78,"confident, challenged",Y,,Study R Studio codes more to reduce the amount of time spent looking things up,2,,95.2,A,97.53,
S49,First Year Student/Freshman,Cisgender Woman,White or European American,"ReRead, TestPractice",NoteTaking,,"TestPractice, Interrogation, SelfExplain, Distributed",NA,,1,NA,"Study over longer period of time, practice applying concepts in other ways",NA,NA,"Distributed, SelfExplain",NA,,"TestPractice, Distributed, ReRead",,NA,Yes,"Strategies seemed effective, but did not translate to a better exam score",1,"Homework, R Studio, Flashcards","Review homework corrections, practice applying information by coding in R",NA,NA,0,-1,0,0,0,0,0,NA,NA,D,62,"not confident, confused, unsure",N,,NA,"Distributed, SelfExplain",,NA,ReRead,,NA,Yes,Study strategies are effective when student applies them,"Homework problems, study guides",Set aside daily study time,"Friends, roommates",Tell friends and roommates about study plans for accountabilty ,0,-1,0,0,0,0,0,C,75,F,48,"confident, confused",N,,NA,3,,66.4,D,82.58,
S48,First Year Student/Freshman,Cisgender Woman,Asian,"ReRead, Summary",NA,,"TestPractice, SelfExplain, ReRead",NA,,0,Prior Quizzes,uses quizzes from class 2 weeks before exam to study,roommate ,teach roommate statistics concepts to increase understanding,"Distributed, ReRead",NA,,"Interrogation, SelfExplain, TestPractice",,NoteTaking,Yes,"helped student know where the topics were located in their notes, making them easy to access during the exam",0,"Notes, Class videos, Class materials ",NA,NA,NA,0,0,0,0,1,-1,0,B,80,C,74,confused,N,,skip harder problems and come back to them,"ReRead, Highlighting, TestPractice, Distributed",,NA,"Interleaved, ReRead, Imagery",,NA,Yes,NA,"Study Guide, class materials",NA,NA,NA,0,1,0,0,1,0,0,B,84,C,79.2,"comfortable, confused, errors decreased confidence",N,,Have notes clearly labeled,2,,85.6,B,94.24,
S47 ,First Year Student/Freshman,Cisgender Woman,Black or African American,"ReRead, TestPractice",GroupStudy,,"TestPractice, SelfExplain, Distributed",NA,,1,NA,"Start studying early, study 20 min per day",NA,NA,ReRead,NA,,"TestPractice, Distributed",,NA,No,Student used rereading and it was not effective,0,Practice Problems,set an amount of time to study in the week or two before the next exam,NA,NA,0,-1,-1,0,0,1,-1,B,85,C,75,"Confused, surprised to feel unprepared",N,,skip harder problems and come back to them,"TestPractice, ReRead",,NA,"TestPractice, Summary, Distributed",,NA,Yes,Test practice was helpful and effective ,"Study Guide, practice problems",carve out time to study in the week befoee the exam,Office hours,ask questions when they don't understand the topics,0,1,1,0,0,0,0,B,85,B,85,"mostly confident, somewhat confused",N,,NA,3,,82.4,B,94.32,
S46,Third Year Student/Junior,Cisgender Man,White or European American,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Distributed,,NA,"ReRead, Distributed, SelfExplain",,NA,Yes,less overwhelmed before the exam,NA,NA,NA,NA,0,0,1,0,0,0,0,A,90,B,89.6,"confident, good",N,,NA,1,,92,A,93.22,
S45,Second Year Student/Sophmore,Cisgender Man,White or European American,"Distributed, TestPractice, SelfExplain",NA,,"Distributed, TestPractice, SelfExplain, ",NA,,1,NA,"create study schedule, divide content into study sessions and self-quiz on the studied content",NA,NA,Distributed,NA,,"SelfExplain, ReRead",,NA,Yes,"partially effective, but did not help student's motivation",0,Class notes,NA,NA,NA,0,1,0,0,0,0,-1,B,85,B,85,confident ,N,,NA,ReRead,,NA,"Distributed, ReRead",,NA,Yes,passed the exam,Portfolio,re-read notes one week in advance,NA,NA,0,0,0,0,0,0,0,B,83,C,73,"confused, but confident",N,,NA,2,,79.2,C,90.97,
S44,Third Year Student/Junior,Cisgender Woman,Black or African American ,"ReRead, TestPractice, Imagery, mnemonic",NA,,"TestPractice, ReRead, Imagery",NA,,0,"lecture slides, quiz answers, Rstudio","create study schedule with specific study strategies on specifc days, practice in Rstudio and create an R studio code sheet",NA,NA,"TestPractice, ReReading, Imagery",NA,,"Distributed, Interleaved",,NA,Yes,"can use study strategies in other classes too, good exam grade",0,Class materials,NA,NA,NA,-1,1,-1,0,0,-1,0,B,80,B,84,"confident, but struggled with longer problems, confused",Y,,"Aim to spend one minute per question, set a timer for 30 min to keep track of time","ReRead, TestPractice, Imagery",,NA,"ReRead, TestPractice, Imagery, Interrogation, SelfExplain",,NA,Yes,great exam scores,NA,Spend extra time on more complex topics,NA,NA,0,1,0,0,0,1,0,A,92,A,95.2,"easier than expected, struggled with more complex problems, confident",N,,continue to use time management techniques allowing for thorough checking of answers,3,,96.8,A,97.87,
S43,Second Year Student/Sophmore,Cisgender Woman,White or European American,Distributed,"NoDistractions, NoteTaking",,NA,NoDistractions,,1,"Study Guide, Class notes","make schedule to execute study plan, go through class learning outcomes, turn phone off and study in a quiet space",NA,NA,"Interrogation, Highlight",NA,,"Mnemonic, Interrogation, Highlight, ReRead",,NA,Yes,the strategies used helped student understand content more than rereading would have ,0,"Class slides, class notes",NA,NA,NA,0,0,0,0,1,0,0,A,95,A,90,"extremely confident, well prepared",N,,NA,"Interrogation, Highlight",,NoteTaking,"Interrogation, Highlight, Mnemonic",,NA,Yes,"strategies were effective, but student wishes they had used these strategies more frequently",NA,NA,NA,NA,0,0,0,0,1,-1,0,A,95,C,72,"nervous, confident, confused",N,,NA,3,,87.2,B,95.56,
S42,Second Year Student/Sophmore,Cisgender Woman,Asian,"TestPractice, ReRead",NoteTaking,,"Distributed, ReRead, TestPractice",NoDistractions,,1,"Class notes, Library",Spend more time studying,NA,NA,"ReRead, Summary, Mnemonic",NA,,"Distributed, Highlight",,NA,Yes,Study strategies helped student avoid looking at notes during exam,0,NA,Plan out a schedule for studying one week prior to exam,NA,NA,0,0,1,0,1,0,0,B,85,B,86,confident,N,,Will put all notes on computer for next exam ,"TestPratice, ReRead",,NA,Interleaved,,NA,Yes,NA,Lecture notes,Practice a little bit each day before the exam,NA,NA,0,0,0,0,0,0,0,B,85,D,64,"confused, stuck, rushed, frustrated",Y,,NA,3,,80.8,B,92.07,
S41,First Year Student/Freshman,Cisgender Woman,White or European American,ReRead,NoteTaking,,"Distributed, ReRead",NoOverConfidence,,1,"Class notes, textbook",NA,NA,NA,"ReRead, Summary",GroupStudy,,Distributed,,NA,Yes,reviewing with other students helped the student remember content well,0,problem sets,NA,NA,NA,0,0,0,0,1,-1,0,B,85,C,72,"confident, confused",N,,NA,NA,,NA,NA,,NA,NA,NA,"Pratice problems, extra class videos",NA,TA,NA,0,1,0,0,1,0,0,B,85,B,85,confused sometimes,N,,NA,3,,84,B,93.32,
S40 ,Third Year Student/Junior,Cisgender Woman,Black or African American ,"ReRead, TestPractice",NoteTaking,,NA,Feedback,,1,NA,NA,"Office Hours, TA",NA,NA,NA,,NA,,NoteTaking,NA,NA,0,"Recorded lectures, class notes",NA,NA,rewatch lectures to fill in missing notes,0,-1,0,0,1,1,0,NA,NA,B,86,confident,N,,NA,NA,,NA,NA,,NA,NA,NA,"Lecture videos, Quizzes",NA,"TA, Office hours","Rewatch lecture videos, and follow up with TAs and professor when test answers are incorrect",0,1,0,0,1,0,0,D,60,NA,NA,"confused, unsure",N,,NA,3,,85.6,B,78.86,
